cong_overall,failure,amplify,pid7,pid_strength
3,Success,Ignore,Strong Democrat,3
-1,Failure,Amplify,Not very strong Republican,2
1,Success,Ignore,Not very strong Republican,2
0,Failure,Amplify,Not very strong Democrat,2
-2,Success,Ignore,Strong Democrat,3
-3,Failure,Ignore,Not very strong Democrat,2
0,Failure,Amplify,Not very strong Democrat,2
1,Failure,Ignore,Not very strong Democrat,2
0,Failure,Amplify,Lean Democrat,1
-1,Failure,Ignore,Not very strong Republican,2
0,Success,Amplify,Not very strong Republican,2
-2,Failure,Ignore,Strong Democrat,3
-2,Success,Ignore,Not very strong Democrat,2
-3,Failure,Ignore,Strong Democrat,3
-1,Success,Ignore,Strong Democrat,3
3,Failure,Amplify,Not very strong Republican,2
0,Success,Ignore,Not very strong Democrat,2
-1,Success,Amplify,Not very strong Democrat,2
0,Success,Amplify,Not very strong Republican,2
0,Failure,Amplify,Independent or Other,0
0,Success,Amplify,Not very strong Democrat,2
0,Success,Amplify,Not very strong Republican,2
2,Success,Ignore,Lean Democrat,1
-1,Success,Amplify,Independent or Other,0
3,Success,Ignore,Strong Republican,3
-3,Success,Ignore,Strong Democrat,3
0,Success,Ignore,Strong Democrat,3
0,Failure,Amplify,Not very strong Democrat,2
0,Failure,Amplify,Not very strong Democrat,2
0,Failure,Amplify,Lean Democrat,1
0,Success,Ignore,Strong Democrat,3
-2,Success,Ignore,Lean Democrat,1
1,Failure,Ignore,Strong Republican,3
-3,Failure,Ignore,Strong Democrat,3
0,Success,Ignore,Lean Republican,1
2,Success,Amplify,Not very strong Democrat,2
0,Failure,Amplify,Lean Republican,1
0,Failure,Amplify,Independent or Other,0
-1,Success,Ignore,Not very strong Democrat,2
3,Failure,Ignore,Strong Democrat,3
1,Failure,Amplify,Not very strong Democrat,2
-2,Success,Amplify,Independent or Other,0
-3,Failure,Amplify,Independent or Other,0
-2,Success,Ignore,Not very strong Republican,2
-2,Success,Ignore,Lean Democrat,1
3,Success,Amplify,Strong Republican,3
3,Failure,Amplify,Independent or Other,0
3,Failure,Amplify,Lean Democrat,1
-2,Failure,Ignore,Strong Democrat,3
0,Success,Amplify,Independent or Other,0
-1,Failure,Amplify,Lean Republican,1
0,Failure,Ignore,Not very strong Democrat,2
-1,Failure,Amplify,Strong Democrat,3
2,Failure,Amplify,Not very strong Republican,2
-3,Failure,Ignore,Not very strong Democrat,2
3,Failure,Ignore,Not very strong Democrat,2
2,Failure,Ignore,Strong Democrat,3
-3,Success,Ignore,Not very strong Republican,2
1,Failure,Ignore,Strong Republican,3
0,Failure,Amplify,Strong Republican,3
-3,Failure,Ignore,Independent or Other,0
0,Success,Amplify,Not very strong Democrat,2
-1,Success,Amplify,Strong Democrat,3
2,Failure,Amplify,Strong Republican,3
-1,Success,Ignore,Independent or Other,0
-1,Failure,Ignore,Strong Democrat,3
-3,Failure,Ignore,Independent or Other,0
-2,Success,Ignore,Strong Republican,3
1,Success,Ignore,Lean Republican,1
2,Failure,Amplify,Not very strong Democrat,2
0,Success,Amplify,Lean Republican,1
-2,Success,Ignore,Lean Democrat,1
2,Failure,Amplify,Not very strong Republican,2
-3,Success,Amplify,Not very strong Democrat,2
0,Success,Amplify,Not very strong Republican,2
0,Failure,Amplify,Independent or Other,0
0,Failure,Amplify,Not very strong Republican,2
0,Success,Ignore,Not very strong Democrat,2
-1,Success,Amplify,Not very strong Democrat,2
3,Failure,Ignore,Strong Republican,3
-2,Failure,Ignore,Strong Democrat,3
1,Success,Amplify,Not very strong Democrat,2
1,Success,Amplify,Strong Democrat,3
1,Success,Ignore,Lean Democrat,1
-2,Failure,Ignore,Not very strong Democrat,2
2,Failure,Ignore,Strong Democrat,3
-2,Success,Ignore,Not very strong Democrat,2
0,Success,Amplify,Not very strong Democrat,2
2,Failure,Amplify,Not very strong Republican,2
2,Success,Amplify,Not very strong Democrat,2
0,Failure,Ignore,Strong Democrat,3
-1,Failure,Ignore,Lean Democrat,1
-2,Success,Ignore,Not very strong Democrat,2
-2,Failure,Ignore,Strong Democrat,3
-2,Failure,Ignore,Independent or Other,0
-1,Failure,Amplify,Not very strong Republican,2
-1,Success,Amplify,Strong Democrat,3
0,Success,Amplify,Not very strong Republican,2
2,Failure,Ignore,Strong Democrat,3
2,Success,Amplify,Not very strong Democrat,2
0,Success,Ignore,Not very strong Democrat,2
1,Success,Amplify,Strong Democrat,3
2,Failure,Amplify,Strong Democrat,3
-2,Failure,Ignore,Not very strong Republican,2
-2,Failure,Ignore,Lean Democrat,1
-1,Success,Amplify,Not very strong Democrat,2
-3,Failure,Ignore,Strong Democrat,3
0,Failure,Ignore,Not very strong Republican,2
0,Success,Amplify,Lean Democrat,1
-2,Success,Amplify,Not very strong Democrat,2
2,Success,Amplify,Strong Democrat,3
-2,Failure,Ignore,Not very strong Democrat,2
-3,Failure,Ignore,Strong Democrat,3
-1,Success,Ignore,Strong Democrat,3
0,Success,Ignore,Not very strong Republican,2
-3,Success,Ignore,Strong Republican,3
-3,Failure,Ignore,Not very strong Democrat,2
2,Failure,Ignore,Lean Republican,1
-3,Success,Ignore,Strong Republican,3
-2,Success,Ignore,Lean Democrat,1
3,Failure,Ignore,Not very strong Republican,2
-1,Success,Amplify,Strong Democrat,3
-3,Failure,Ignore,Not very strong Democrat,2
2,Success,Ignore,Strong Democrat,3
2,Failure,Amplify,Strong Democrat,3
-1,Success,Amplify,Strong Republican,3
2,Failure,Amplify,Strong Democrat,3
-3,Success,Ignore,Strong Democrat,3
-2,Success,Amplify,Lean Democrat,1
2,Success,Ignore,Independent or Other,0
0,Success,Amplify,Not very strong Republican,2
3,Failure,Amplify,Independent or Other,0
0,Success,Amplify,Independent or Other,0
2,Failure,Amplify,Strong Republican,3
-1,Success,Amplify,Strong Republican,3
-2,Failure,Amplify,Not very strong Democrat,2
0,Success,Amplify,Lean Republican,1
3,Failure,Amplify,Not very strong Democrat,2
0,Success,Ignore,Strong Democrat,3
3,Success,Amplify,Independent or Other,0
0,Failure,Ignore,Lean Democrat,1
1,Success,Ignore,Independent or Other,0
-3,Success,Ignore,Not very strong Republican,2
2,Success,Amplify,Strong Democrat,3
-1,Failure,Ignore,Not very strong Republican,2
2,Failure,Amplify,Strong Democrat,3
1,Failure,Ignore,Independent or Other,0
-2,Failure,Ignore,Not very strong Republican,2
0,Failure,Amplify,Lean Republican,1
-3,Failure,Ignore,Lean Democrat,1
-3,Success,Ignore,Strong Democrat,3
1,Failure,Amplify,Strong Democrat,3
-3,Failure,Ignore,Lean Democrat,1
-2,Failure,Ignore,Lean Democrat,1
3,Failure,Amplify,Lean Republican,1
-1,Failure,Ignore,Strong Democrat,3
1,Failure,Amplify,Not very strong Republican,2
-3,Failure,Ignore,Not very strong Democrat,2
-3,Failure,Ignore,Not very strong Democrat,2
1,Failure,Amplify,Not very strong Democrat,2
-3,Failure,Ignore,Not very strong Democrat,2
0,Failure,Amplify,Lean Republican,1
2,Failure,Amplify,Not very strong Republican,2
3,Success,Amplify,Strong Republican,3
1,Success,Amplify,Strong Democrat,3
2,Failure,Amplify,Strong Democrat,3
0,Success,Amplify,Strong Democrat,3
-3,Failure,Ignore,Independent or Other,0
0,Success,Amplify,Lean Democrat,1
0,Failure,Amplify,Not very strong Democrat,2
0,Failure,Amplify,Strong Republican,3
0,Success,Amplify,Independent or Other,0
0,Success,Amplify,Independent or Other,0
-3,Failure,Ignore,Strong Democrat,3
1,Success,Ignore,Strong Republican,3
3,Failure,Amplify,Not very strong Democrat,2
-1,Success,Amplify,Strong Republican,3
2,Success,Amplify,Strong Republican,3
0,Success,Ignore,Not very strong Democrat,2
2,Success,Ignore,Not very strong Democrat,2
-1,Failure,Amplify,Not very strong Democrat,2
-1,Failure,Amplify,Strong Democrat,3
0,Success,Amplify,Independent or Other,0
-1,Success,Ignore,Lean Democrat,1
-3,Failure,Ignore,Independent or Other,0
1,Failure,Amplify,Not very strong Republican,2
3,Failure,Amplify,Strong Republican,3
0,Failure,Amplify,Not very strong Democrat,2
-3,Failure,Ignore,Independent or Other,0
2,Success,Ignore,Lean Democrat,1
-3,Failure,Amplify,Strong Democrat,3
-1,Failure,Ignore,Strong Democrat,3
-2,Failure,Ignore,Independent or Other,0
-2,Success,Ignore,Strong Republican,3
0,Success,Ignore,Not very strong Democrat,2
-1,Success,Amplify,Not very strong Democrat,2
1,Failure,Amplify,Not very strong Republican,2
0,Failure,Amplify,Independent or Other,0
-2,Success,Amplify,Not very strong Republican,2
-2,Failure,Ignore,Strong Democrat,3
0,Success,Amplify,Strong Democrat,3
2,Success,Amplify,Strong Democrat,3
1,Success,Amplify,Strong Democrat,3
0,Success,Amplify,Not very strong Democrat,2
0,Success,Ignore,Independent or Other,0
2,Failure,Ignore,Not very strong Democrat,2
1,Success,Amplify,Not very strong Democrat,2
3,Success,Amplify,Strong Democrat,3
3,Failure,Ignore,Not very strong Republican,2
1,Failure,Ignore,Lean Republican,1
-2,Success,Ignore,Strong Democrat,3
2,Success,Ignore,Strong Democrat,3
2,Success,Ignore,Strong Democrat,3
-2,Failure,Ignore,Lean Democrat,1
-2,Success,Amplify,Strong Democrat,3
-1,Success,Amplify,Strong Democrat,3
0,Success,Ignore,Not very strong Democrat,2
3,Success,Amplify,Strong Democrat,3
-1,Failure,Amplify,Not very strong Democrat,2
-1,Success,Ignore,Strong Democrat,3
-2,Failure,Ignore,Strong Democrat,3
-2,Failure,Amplify,Not very strong Democrat,2
-2,Success,Amplify,Independent or Other,0
3,Success,Amplify,Strong Republican,3
-3,Failure,Ignore,Not very strong Democrat,2
0,Failure,Ignore,Not very strong Democrat,2
3,Success,Ignore,Lean Republican,1
0,Failure,Amplify,Independent or Other,0
-1,Success,Amplify,Lean Republican,1
-2,Failure,Amplify,Lean Democrat,1
-1,Success,Ignore,Lean Republican,1
3,Failure,Amplify,Not very strong Democrat,2
0,Success,Amplify,Independent or Other,0
-1,Success,Ignore,Independent or Other,0
0,Success,Ignore,Strong Democrat,3
1,Success,Amplify,Strong Democrat,3
2,Failure,Amplify,Strong Democrat,3
0,Success,Amplify,Independent or Other,0
2,Failure,Ignore,Strong Democrat,3
0,Failure,Ignore,Not very strong Republican,2
0,Success,Ignore,Strong Republican,3
2,Failure,Ignore,Strong Democrat,3
1,Failure,Ignore,Strong Democrat,3
-2,Failure,Ignore,Not very strong Democrat,2
0,Failure,Ignore,Not very strong Republican,2
0,Failure,Amplify,Not very strong Republican,2
0,Success,Ignore,Independent or Other,0
-2,Success,Amplify,Lean Democrat,1
3,Failure,Amplify,Strong Democrat,3
-1,Success,Ignore,Not very strong Democrat,2
2,Success,Amplify,Lean Democrat,1
-3,Success,Ignore,Strong Democrat,3
1,Success,Amplify,Not very strong Democrat,2
2,Failure,Amplify,Strong Republican,3
0,Success,Amplify,Lean Democrat,1
-1,Failure,Ignore,Independent or Other,0
1,Failure,Ignore,Strong Democrat,3
-1,Failure,Ignore,Strong Republican,3
-3,Success,Ignore,Not very strong Democrat,2
1,Success,Ignore,Strong Republican,3
3,Failure,Amplify,Not very strong Democrat,2
-1,Success,Ignore,Not very strong Democrat,2
-2,Success,Amplify,Lean Democrat,1
2,Success,Amplify,Strong Democrat,3
0,Failure,Ignore,Not very strong Democrat,2
-2,Failure,Ignore,Strong Democrat,3
0,Failure,Ignore,Not very strong Democrat,2
-3,Failure,Ignore,Strong Republican,3
2,Failure,Amplify,Strong Democrat,3
-2,Success,Amplify,Not very strong Republican,2
2,Failure,Ignore,Not very strong Republican,2
0,Failure,Ignore,Independent or Other,0
1,Failure,Ignore,Strong Democrat,3
-1,Success,Ignore,Strong Democrat,3
1,Failure,Amplify,Strong Democrat,3
-1,Success,Amplify,Strong Democrat,3
2,Success,Amplify,Lean Democrat,1
-1,Failure,Amplify,Not very strong Democrat,2
-1,Success,Ignore,Lean Republican,1
3,Success,Ignore,Not very strong Republican,2
0,Success,Ignore,Lean Republican,1
2,Success,Ignore,Not very strong Republican,2
-2,Failure,Ignore,Independent or Other,0
2,Failure,Amplify,Not very strong Democrat,2
0,Failure,Amplify,Lean Democrat,1
2,Failure,Ignore,Not very strong Democrat,2
-3,Success,Ignore,Strong Democrat,3
0,Failure,Amplify,Lean Democrat,1
2,Failure,Amplify,Strong Democrat,3
3,Success,Ignore,Not very strong Democrat,2
-1,Failure,Ignore,Strong Democrat,3
-1,Success,Amplify,Strong Republican,3
0,Success,Amplify,Strong Democrat,3
0,Success,Ignore,Independent or Other,0
-3,Success,Amplify,Not very strong Republican,2
-2,Failure,Amplify,Strong Democrat,3
2,Success,Amplify,Strong Democrat,3
-2,Success,Amplify,Strong Democrat,3
-3,Failure,Amplify,Strong Republican,3
